"wosID"	"isOpenAccess"	"openAccessType"	"abstract"	"fundingText"	"citedReferenceCount"	"full_address"	"reprintAddress"	"articleNumber"	"publicationYear"	"publicationDate"	"volume"	"issue"	"partNumber"	"supplement"	"specialIssue"	"earlyAccessDate"	"startPage"	"endPage"	"numberOfPages"	"publisherCity"	"publisherAddress"	"publisher"	"keywordsPlus"	"conferenceDate"	"conferenceSponsor"	"conferenceHost"	"conferenceTitle"	"documentType"	"RID"	"ORCID"	"standardNames"	"authors"	"email"	"paperTitle"	"journalTitle"	"journalAbbrev"	"journalISO"	"issn"	"doi"	"eissn"	"isbn"	"pmid"	"conferenceLocation"	"fundingOrgs"
"WOS:000548754100001"	""	""	"This letter presents distance measures for strong observability and strong detectability of linear, time-invariant systems with direct feedthrough. In contrast to standard binary criteria, the proposed measures allow to quantify these properties numerically. An optimization based approach for calculating these measures is derived. Meaningful conditions for such measures are introduced and the properties of the proposed measures regarding these conditions are analyzed. In order to demonstrate their usefulness, the measures are applied to optimal sensor placement for reconstruction of unknown forces on a mechanical structure."	"This work was supported in part by the Austrian Research Promotion Agency (FFG) under the Research Project InViDia under Grant 877091, in part by the Christian Doppler Research Association, in part by the Austrian Federal Ministry for Digital and Economic Affairs, and in part by the National Foundation for Research, Technology and Development."	"14"	"Graz Univ Technol, Inst Automat & Control, A-8010 Graz, Austria, Graz Univ Technol, Christian Doppler Lab Model Based Control Complex, A-8010 Graz, Austria"	"Graz Univ Technol, Inst Automat & Control, A-8010 Graz, Austria"	""	"2021"	"APR 2021"	"5"	"2"	""	""	""	""	"565"	"570"	"6"	"PISCATAWAY"	"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA"	"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC"	"CONTROLLABILITY, DESIGN"	""	""	""	""	"Article"	"1| 2| 3| 4"	"1| 2| 3| 4"	"Falkensteiner, Roland 1| Horn, Martin 4| Reichhartinger, Markus 3| Seeber, Richard 2"	"Falkensteiner, Roland 1| Horn, Martin 4| Reichhartinger, Markus 3| Seeber, Richard 2"	"2| 3| 4| roland.falkensteiner@tugraz.at 1"	"Distance Measures for Strong Observability and Strong Detectability of Systems With Direct Feedthrough"	"IEEE CONTROL SYSTEMS LETTERS"	"IEEE CONTR SYST LETT"	"IEEE Control Syst. Lett."	"2475-1456"	"10.1109/LCSYS.2020.3004279"	""	""	""	""	"Austrian Research Promotion Agency (FFG) under the Research Project InViDia"
"WOS:000556633800009"	"Yes"	"gold_other"	"The comfort of passengers is one of the most significant advances in modern passenger transport. Despite its subjectivity, it could be related to the lateral accelerations on horizontal curves. This study aimed to analyze the relationship between passengers' comfort and lateral acceleration in two-lane rural mountain roads. Real-vehicle experiments were performed with 58 passengers on one road in the Ecuadorian Andes. They explored the influence of age, sex, level of stress, level of physical pain, speed and lateral acceleration on passenger comfort. Two instruments were employed to collect data: a survey conducted to the passengers and a precise GPS device. In the survey, the passengers selected their comfort or discomfort within the curve. The GPS collected the vehicle speed, lateral accelerations and its trajectory. As a result, it calibrated two models using Structural Equation Modeling (SEMI with the factors: comfort values, stress level and lateral acceleration. Besides, it calibrated six models using linear regression with several thresholds of speed. Differences were found between right and left curves, which had not been detected by previous researchers. The research suggests thresholds of lateral acceleration in mountain roads in a Latin American country that would improve their design for better performance and safety."	"The author acknowledges the support of the National Secretariat of Higher Education, Science, Technology and Innovation (SENESCYT) and Universidad Tecnica Particular de Loja from the Republic of Ecuador."	"27"	"Univ Tecn Particular Loja, Dept Geol & Minas & Ingn Civil, Ingn Civil, Calle Paris, San Cayetano Alto 110107, Loja, Ecuador"	"Univ Tecn Particular Loja, Dept Geol & Minas & Ingn Civil, Ingn Civil, Calle Paris, San Cayetano Alto 110107, Loja, Ecuador"	""	"2021"	"JAN-MAR 2021"	""	"98"	""	""	""	""	"94"	"103"	"10"	"MEDELLIN"	"67 N 53-108, BLOQUE 28, CIUDAD UNIV, UNIV ANTIQUIA, MEDELLIN, 00000, COLOMBIA"	"IMPRENTA UNIV ANTIOQUIA"	""	""	""	""	""	"Article"	"1| 2"	"1| 2"	"Aguilar-Cardenas, Diego 2| Garcia-Ramirez, Yasmany D. 1"	"Aguilar-Cardenas, Diego 2| Garcia-Ramirez, Yasmany D. 1"	"2| ydgarcia1@utpl.edu.ec 1"	"Passengers' comfort in horizontal curves on mountain roads: A field study using latera accelerations"	"REVISTA FACULTAD DE INGENIERIA-UNIVERSIDAD DE ANTIOQUIA"	"REV FAC ING-UNIV ANT"	"Rev. Fac. Ing.-Univ. Antioquia"	"0120-6230"	"10.17533/udea.redin.20200578"	"2422-2844"	""	""	""	"National Secretariat of Higher Education, Science, Technology and Innovation (SENESCYT)"
"WOS:000569176100020"	"Yes"	"gold_doaj, green_published"	"Objective: To analyze the current scientific literature to document, in an integrative review, the main findings that correlate Kawasaki disease (KD) to COVID-19."	""	"34"	"Fac Pequeno Principe, Curitiba, Parana, Brazil, Univ Fed Ciencias Saude Porto Alegre, Porto Alegre, RS, Brazil"	"Fac Pequeno Principe, Curitiba, Parana, Brazil"	""	"2021"	"2021"	"39"	""	""	""	""	""	""	""	"8"	"SAO PAULO SP"	"ALAMEDA SANTOS 211, 5O ANDAR, SAO PAULO SP, 01419-000, BRAZIL"	"SOC PEDIATRIA SAO PAULO"	"CHILDREN, COVID-19, SHOCK"	""	""	""	""	"Article"	"1| 2| 3"	"1| 2| 3"	"Ribeiro, Elaine Rossi 3| dos Santos, Bruna Silva 1| dos Santos, Fernanda Silva 2"	"Ribeiro, Elaine Rossi 3| dos Santos, Bruna Silva 1| dos Santos, Fernanda Silva 2"	"2| 3| brunamesantos@gmail.com 1"	"Clinical-epidemiological relation between SARS-CoV-2 and Kawasaki disease: an integrative literature"	"REVISTA PAULISTA DE PEDIATRIA"	"REV PAUL PEDIATR"	"Rev. Paul. Pediatr."	"0103-0582"	"10.1590/1984-0462/2021/39/2020217"	"1984-0462"	""	"32876096"	""	""
"WOS:000570974900071"	"Yes"	"bronze"	"The organotin(IV) compounds used in chemotherapy due to its lipophilicity, affected by the number of carbon atoms and the cytotoxicity. These are affected by the obtainability of Sn coordination bond and bond stabilization between ligand and tin. Two novel organotin(IV) complexes were synthesized, characterized, and tested against human lung cancer cells (A549). The cytotoxic effect of the prepared organotin(IV) complexes against human lung cancer cells (A549) was investigated using the MTT colorimetric assay. Apoptosis was investigated by flow cytometry. The cytotoxicity assay reveals that the Bu2SnL2 complex is more active to inhibit the growth of A549 cells compared to the Ph2SnL2, and doxorubicin, nevertheless at high concentration (50 and 100) mu g/mL the doxorubicin was more affective to inhibit the viability of A549 cells."	""	"28"	"Al Nahrain Univ, Coll Sci, Dept Chem, Baghdad, Iraq, Al Nahrain Univ, Coll Biotechnol, Baghdad, Iraq, Univ South Carolina, Sch Med, Dept Pathol Microbiol & Immunol, Columbia, SC 29208 USA"	"Al Nahrain Univ, Coll Sci, Dept Chem, Baghdad, Iraq"	""	"2021"	"FEB 15 2021"	"11"	"1"	""	""	""	""	"8156"	"8164"	"9"	"BUCURESTI"	"BIOINTERFACE RESEARCH APPLIED CHEMISTRY, BUCURESTI, 00000, ROMANIA"	"BIOINTERFACE RESEARCH APPLIED CHEMISTRY"	"HYPERTENSION"	""	""	""	""	"Article"	"1| 2| 3| 4| 5"	"1| 2| 3| 4| 5"	"Ali, Muataz 3| Makia, Raghda 2| Mohammed, Alaa 1| Raheem, Rasha 4| Yousif, Emad 5"	"Ali, Muataz 3| Makia, Raghda 2| Mohammed, Alaa 1| Raheem, Rasha 4| Yousif, Emad 5"	"alaaalqaycy7@gmail.com 1| emad_yousif@hotmail.com 5| muataz.a.ali@gmail.com 3| raghdahmakia@gmail.com 2| rasha.raheem@gmail.com 4"	"Cytotoxic Effects of Valsartan Organotin(IV) Complexes on Human Lung Cancer Cells"	"BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY"	"BIOINTERFACE RES APP"	"Biointerface Res. Appl. Chem."	"2069-5837"	"10.33263/BRIAC111.81568164"	""	""	""	""	""
"WOS:000581112700009"	"Yes"	"gold_doaj"	"The luminous value is high for many natural scenes, which causes loss of information and occurs in dark images. The High Dynamic Range (HDR) technique captures the same objects or scene for multiple times in different exposure and produces the images with proper illumination. This technique is used in the various applications such as medical imaging and observing the skylight, etc. HDR imaging techniques usually have the issue of lower efficiency due to capturing of multiple photos. In this paper, an efficient method is proposed for HDR imaging technique to achieve better performance and lower noise. The Luminance-Chrominance-Gradient High Dynamic Range (LCGHDR) method is proposed to obtain the proper luminous value of images. The same scenario is captured at different exposure are processed by the proposed method. Based on these feature values extracted from the different images and exposure fusion technique was developed that helps for the proper imaging. This experiment was evaluated and analyzed by comparing with the other methods, which showed the efficiency of the proposed method. This method needs only 124.594 seconds for the computation, while existing method need 139.869 seconds for the same number of images."	""	"27"	"Andhra Univ, Coll Engn, Visakhapatnam 531162, Andhra Pradesh, India, Andhra Univ, Coll Engn, Dept CS & SE, Visakhapatnam, Andhra Pradesh, India, Gayatri Vidya Parishad Coll Degree & PG Courses, Visakhapatnam 530045, Andhra Pradesh, India"	"Andhra Univ, Coll Engn, Visakhapatnam 531162, Andhra Pradesh, India"	""	"2021"	"JAN 2021"	"30"	"1"	""	""	""	""	"346"	"360"	"15"	"BERLIN"	"GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY"	"WALTER DE GRUYTER GMBH"	"HDR, IMAGES"	""	""	""	""	"Article"	"1| 2| 3"	"1| 2| 3"	"Kiran, Bagadi Ravi 1| Kumari, Vatsavayi Valli 2| Raju, K. V. S. V. N. 3"	"Kiran, Bagadi Ravi 1| Kumari, Vatsavayi Valli 2| Raju, K. V. S. V. N. 3"	"brk2007@gmail.com 1| kvsvn.raju@gvptc.edu.in 3| vallikumari@gmail.com 2"	"Model for High Dynamic Range Imaging System Using Hybrid Feature Based Exposure Fusion"	"JOURNAL OF INTELLIGENT SYSTEMS"	"J INTELL SYST"	"J. Intell. Syst."	"0334-1860"	"10.1515/jisys-2018-0412"	"2191-026X"	""	""	""	""
"WOS:000587502700003"	""	""	"Software clone detection is a widely researched area over the last two decades. Code clones are fragments of code judged similar by some metric of similarity. This paper proposes an approach for code clone detection using dynamic time warping technique (i.e., DTW). DTW is a well-known algorithm for aligning and measuring similarity of time series and it has been found effective in many domains where similarity plays an important role such as speech and gesture recognition. The proposed approach finds clones in three steps. First software modules are extracted. Then, the extracted modules are turned to time series. Finally, the time series are compared using the DTW algorithm to find clones. The results of the experiment conducted on a well-known Benchmark show that the approach can detect clones effectively in software systems."	""	"37"	"Dr Tahar Moulay Univ Saida, Comp Sci Dept, Saida, Algeria"	"Dr Tahar Moulay Univ Saida, Comp Sci Dept, Saida, Algeria"	""	"2021"	"JAN-MAR 2021"	"9"	"1"	""	""	""	""	"20"	"36"	"17"	"HERSHEY"	"701 E CHOCOLATE AVE, STE 200, HERSHEY, PA 17033-1240 USA"	"IGI GLOBAL"	"CODE"	""	""	""	""	"Article"	"1"	"1"	"Abdelkader, Mostefai 1"	"Abdelkader, Mostefai 1"	"1"	"Using Dynamic Time Warping to Detect Clones in Software Systems"	"INTERNATIONAL JOURNAL OF SOFTWARE INNOVATION"	"INT J SOFTW INNOV"	"Int. J. Softw. Innov."	"2166-7160"	"10.4018/IJSI.2021010103"	"2166-7179"	""	""	""	""
"WOS:000595594200002"	""	""	"Technology such as cloud computing(CC) is constantly evolving and being adopted by the industries to manage their data and tasks. CC provides the resources for managing the tasks of the cloud users. The acceptance of the CC in healthcare industries is proven to be more cost-effective and convenient. CC manager has to manage the resources to provide services to the end-users of the healthcare sector. The SLAMMP framework discussed here shows how the resources are managed by using the concept of reinforcement learning (RL) and LSTM (long short-term memory) for monitoring and prediction of the cloud resources for healthcare organizations. The task(s) pattern and anti-pattern scenarios have been observed using HMM (hidden Markov model). These patterns will tune the SLA parameters (service level agreement) using blockchain-based smart contracts (SC). The result discussed here indicates that the variations in the cloud resource demand will be handled carefully using the SLAMMP framework. From the result obtained, it is identified that SLAMMP performs well with the parameter used here."	""	"47"	"Nirma Univ, Comp Sci & Engn, Ahmadabad, Gujarat, India, Nirma Univ, Comp Sci & Engn Dept, Inst Technol, Ahmadabad, Gujarat, India"	"Nirma Univ, Comp Sci & Engn, Ahmadabad, Gujarat, India"	""	"2021"	"MAR-APR 2021"	"12"	"2"	""	""	"SI"	""	"1"	"31"	"31"	"HERSHEY"	"701 E CHOCOLATE AVE, STE 200, HERSHEY, PA 17033-1240 USA"	"IGI GLOBAL"	"SYSTEMS, OPPORTUNITIES, ARCHITECTURE, ISSUES"	""	""	""	""	"Article"	"1| 2"	"1| 2"	"Bhaysar, Madhuri D. 2| Prasad, Vivek Kumar 1"	"Bhaysar, Madhuri D. 2| Prasad, Vivek Kumar 1"	"1| 2"	"SLAMMP Framework for Cloud Resource Management and Its Impact on Healthcare Computational Techniques"	"INTERNATIONAL JOURNAL OF E-HEALTH AND MEDICAL COMMUNICATIONS"	"INT J E-HEALTH MED C"	"Int. J. E-Health Med. Commun."	"1947-315X"	"10.4018/IJEHMC.2021030101"	"1947-3168"	""	""	""	""
"WOS:000596077600004"	""	""	""	""	"43"	""	""	""	"2021"	"JAN 2021"	"22"	"1"	""	""	""	""	"29"	"35"	"7"	"LUBLIN"	"LUBLIN UNIV TECHNOLOGY, ENVIRONMENTAL ENGINEERING FAC, LUBLIN, 20618, POLAND"	"POLISH SOC ECOLOGICAL ENGINEERING"	""	""	""	""	""	"Article"	"1| 2| 3| 4| 5"	"1| 2| 3| 4| 5"	"Al Diana, Nabila Zahro 1| Arsad, Sulastri 3| Cahyoko, Yudi 5| Pursetyo, Kustiawan Tri 4| Sari, Luthfiana Aprilianita 2"	"Al Diana, Nabila Zahro 1| Arsad, Sulastri 3| Cahyoko, Yudi 5| Pursetyo, Kustiawan Tri 4| Sari, Luthfiana Aprilianita 2"	"1| 3| 4| 5| luthfianaas@fpk.unair.ac.id 2"	"Monitoring of Phytoplankton Abundance and Chlorophyll-a Content in the Estuary of Banjar Kemuning River, Sidoarjo Regency, East Java"	"JOURNAL OF ECOLOGICAL ENGINEERING"	"J ECOL ENG"	"J. Ecol. Eng."	""	""	""	""	""	""	""
"WOS:000548754100012"	""	""	"The design problem of a high-gain observer is considered for some 2 x 2 and 3 x 3 semilinear reaction-diffusion systems, with possibly distinct diffusivities, and considering distributed measurement of part of the state. Due to limitations imposed by the parabolic operator, for the design of such an observer, an infinite-dimensional state transformation is first applied to map the system into a more suitable set of partial differential equations. The observer is then proposed including output correction terms and also spatial derivatives of the output of order depending on the number of distinct diffusivities. It ensures arbitrarily fast state estimation in the sup-norm. The result is illustrated with a simulated example of a Lotka-Volterra system."	""	"31"	"Univ Grenoble Alpes, Grenoble INP Inst Engn, GIPSA Lab, CNRS, F-38000 Grenoble, France"	"Univ Grenoble Alpes, Grenoble INP Inst Engn, GIPSA Lab, CNRS, F-38000 Grenoble, France"	""	"2021"	"APR 2021"	"5"	"2"	""	""	""	""	"629"	"634"	"6"	"PISCATAWAY"	"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA"	"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC"	"LINEAR HYPERBOLIC SYSTEMS, CONTROLLABILITY"	""	""	""	""	"Article"	"1| 2| 3"	"1| 2| 3"	"Besancon, Gildas 2| Kitsos, Constantinos 1| Prieur, Christophe 3"	"Besancon, Gildas 2| Kitsos, Constantinos 1| Prieur, Christophe 3"	"christophe.prieur@gipsa-lab.grenoble-inp.fr 3| gildas.besancon@gipsa-lab.grenoble-inp.fr 2| konstantinos.kitsos@gipsa-lab.grenoble-inp.fr 1"	"High-Gain Observer Design for Some Semilinear Reaction-Diffusion Systems: A Transformation-Based Approach"	"IEEE CONTROL SYSTEMS LETTERS"	"IEEE CONTR SYST LETT"	"IEEE Control Syst. Lett."	"2475-1456"	"10.1109/LCSYS.2020.3004742"	""	""	""	""	""
"WOS:000577598600001"	""	""	"A significant change is taking place nowadays, i.e. the progressive tendency to aging of the elderly population: longevity is a very latent characteristic in our society. This change is favoring the development of various policies for the preparation of the population towards an active and healthy aging, taking into account the benefits of physical activity for its promotion. The main objective of this study is to review the bibliography on the positive impact of physical activity on elders' well-being associated with healthy aging. Studies collected in the Web of Science database were chosen from those journals with the highest impact index. The sample consisted of 15 articles, Altich were thoroughly studied so to break down the most relevant information. The articles were selected taking into account the following variables: objectives, design, sample and instruments, and results. The analyzed articles showed how daily practice of physical activity increases self-esteem levels, affects elderly 's happiness, contributes to improving self-care competence, promotes corporal scheme integration, facilitates intergenerational relations, increases social participation, creates positive changes in lifestyle, improves sleep quality, reduces anxiety, stress, depression and insomnia, and reinforces intellectual activity due to good cerebral oxygenation, among other effects. In the third age it is necessary to promote an active and healthy aging based on the promotion of physical activity."	""	"36"	"Univ Granada, Granada, Spain"	"Univ Granada, Granada, Spain"	""	"2021"	"2021"	""	"39"	""	""	""	""	"829"	"834"	"6"	"MURCIA"	"C CABO VIDIO 27, SAN JAVIER, MURCIA, 30730, SPAIN"	"FEDERACION ESPANOLA ASOC DOCENTES EDUCACION FISICA-FEADEF"	"HEALTH"	""	""	""	""	"Review"	"1| 2| 3"	"1| 2| 3"	"Martinez Heredia, Nazaret 1| Rodriguez-Garcia, Antonio-Manuel 3| Santaella Rodriguez, Esther 2"	"Martinez Heredia, Nazaret 1| Rodriguez-Garcia, Antonio-Manuel 3| Santaella Rodriguez, Esther 2"	"2| 3| nazareth@ugr.es 1"	"Benefits of physical activity for the promotion of active aging in elderly. Bibliographic review"	"RETOS-NUEVAS TENDENCIAS EN EDUCACION FISICA DEPORTE Y RECREACION"	"RETOS-NUEV TEND EDUC"	"Retos"	"1579-1726"	""	"1988-2041"	""	""	""	""
